word,tfidf_pos,tfidf_neg,diff
great,0.027974291623797467,0.010594968514533577,0.01737932310926389
love,0.020108153439602632,0.009449947832400109,0.010658205607202523
best,0.019220970176601772,0.008948433760375645,0.010272536416226127
excellent,0.011191218126943361,0.002340297768744978,0.008850920358198382
wonderful,0.00940369302072667,0.0018892304095401947,0.007514462611186475
life,0.016055031252940652,0.009920980165010362,0.0061340510879302895
loved,0.008521415236650768,0.002401400268360625,0.0061200149682901425
perfect,0.007873965896373574,0.002150247505445468,0.005723718390928107
beautiful,0.009132008383101265,0.0035070540664623017,0.005624954316638963
amazing,0.007251675910811695,0.0017956621912837392,0.0054560137195279555
favorite,0.006830936255947504,0.0018364348430068287,0.004994501412940675
story,0.02345990331060822,0.018774855403470278,0.004685047907137942
brilliant,0.006445364899491791,0.0017891911539576995,0.0046561737455340915
years,0.012708217854160285,0.008071554683755075,0.00463666317040521
family,0.010198860540130845,0.005614895189150454,0.004583965350980391
world,0.010777005917464581,0.006193939013329933,0.004583066904134648
enjoyed,0.00700713228909092,0.0025240162772044105,0.00448311601188651
young,0.01087606244207659,0.006448831918392339,0.00442723052368425
performance,0.009767846490685938,0.005355098756462577,0.004412747734223362
series,0.010866225504220695,0.006723792075708294,0.004142433428512401
film,0.0519389836793911,0.0478214886995288,0.004117494979862302
war,0.007995533256621225,0.003880156875780716,0.004115376380840509
highly,0.006020382567998169,0.0019144186796328014,0.004105963888365367
fun,0.00991713590856373,0.005871193552166944,0.004045942356396786
superb,0.004751284586837335,0.0007228870056729465,0.004028397581164389
fantastic,0.004898112276217424,0.0010591483084623878,0.0038389639677550366
performances,0.0073330734870319944,0.003500407481409081,0.0038326660056229134
definitely,0.00724701320083033,0.003470465425407206,0.003776547775423124
music,0.010582725375153845,0.006896860808125099,0.0036858645670287456
true,0.00819918837053271,0.004537900384754756,0.003661287985777954
shows,0.008750410657530305,0.00510030914595541,0.0036501015115748946
especially,0.008718657805924568,0.005085213494273436,0.0036334443116511315
job,0.008161514585801888,0.004541655691157862,0.0036198588946440256
different,0.00825106435238521,0.0047510886438207525,0.0034999757085644578
classic,0.007276396275227266,0.003798570402988038,0.0034778258722392283
today,0.005046142160734134,0.0015971070024386228,0.0034490351582955117
dvd,0.00908889038173116,0.0056673161971333855,0.003421574184597774
role,0.009625036227650364,0.006322188094662213,0.0033028481329881506
enjoy,0.007755844389869814,0.004660035318976374,0.00309580907089344
heart,0.005247436616207931,0.00217945966252343,0.003067976953684501
recommend,0.007825246395673564,0.0047892461545875715,0.003036000241085993
strong,0.00501400984121927,0.0020440081953871786,0.0029700016458320917
greatest,0.0042923723071364,0.0013777336077016164,0.0029146386994347833
hilarious,0.0052585990117862795,0.002426106211386672,0.0028324928003996075
human,0.005952352280735618,0.0032452822050252714,0.0027070700757103466
gives,0.005942635282574864,0.0032443877547542357,0.002698247527820628
beautifully,0.0031931097167936092,0.0004979436232475877,0.0026951660935460213
liked,0.006751130736672262,0.004123236081484105,0.0026278946551881576
man,0.012407498360356496,0.009799113307782728,0.0026083850525737678
touching,0.0031482921426331492,0.0005414839192668446,0.0026068082233663046
perfectly,0.0036453660575682337,0.0010571582567298577,0.002588207800838376
lives,0.00537304515064208,0.0027894379659083863,0.002583607184733694
enjoyable,0.0044728868873803685,0.001938187815351473,0.0025346990720288955
powerful,0.0034680738636183738,0.0009360451085722224,0.0025320287550461514
played,0.008015384362598995,0.005484952020961644,0.0025304323416373503
new,0.010670322165164359,0.008165517460965239,0.0025048047041991203
unique,0.0035712607380796115,0.0010834271896533788,0.0024878335484262324
films,0.01685928294438575,0.014395151131978748,0.0024641318124070024
plays,0.007367862991666589,0.004924144383603465,0.0024437186080631243
moving,0.004167922511626784,0.0017450054470863267,0.002422917064540457
simple,0.004679168872017536,0.0022765550853055573,0.002402613786711979
outstanding,0.0029970708252985657,0.0005995188261905906,0.002397551999107975
masterpiece,0.0036825318536742456,0.0013029417606457766,0.002379590093028469
incredible,0.003424273419428922,0.0011171481757941658,0.002307125243634756
makes,0.011119787272835286,0.00884529198443669,0.0022744952883985963
quite,0.010358543927053283,0.008089777378094283,0.002268766548959
realistic,0.003974985252156824,0.0017172278152240315,0.002257757436932793
terrific,0.0028969566254933264,0.0006465208614982237,0.0022504357639951027
gem,0.002782006217201314,0.0005468556352323541,0.00223515058196896
cast,0.010732875665140274,0.008499079111622334,0.0022337965535179395
works,0.004865069991244249,0.0026350657484083212,0.0022300042428359274
awesome,0.0032945252272361786,0.0010669198277184295,0.0022276053995177493
times,0.009445761785524769,0.007233276231697399,0.0022124855538273695
beauty,0.003472774852245503,0.001261543327371417,0.002211231524874086
saw,0.01071137545889564,0.008537265150200021,0.0021741103086956193
drama,0.005485999535851924,0.003353788051391731,0.0021322114844601926
wonderfully,0.0024161201779235512,0.0002937076727719312,0.00212241250515162
recommended,0.00325264908807448,0.0011305116474952563,0.0021221374405792238
entertaining,0.006013451066957272,0.003893541901416221,0.0021199091655410506
john,0.006873307992658891,0.004760403299945649,0.0021129046927132423
tale,0.00380958581811884,0.0017255505360937074,0.0020840352820251326
episode,0.006352864963962043,0.004276074372450082,0.0020767905915119603
romantic,0.004102042035395219,0.002030702219355405,0.002071339816039814
episodes,0.004291358194175566,0.002223551712789467,0.0020678064813860987
fine,0.005190085165051699,0.0031269510691775567,0.0020631340958741427
bit,0.00896394606869236,0.006921350760252588,0.0020425953084397715
oscar,0.0034863984317183455,0.0014604437618326554,0.0020259546698856903
supporting,0.003896706748424525,0.0018773158993194512,0.002019390849105074
father,0.005771790533368432,0.0037736032041468374,0.0019981873292215942
sweet,0.003048489733058833,0.0010824272608952982,0.001966062472163535
subtle,0.0026925263627868208,0.0007283593946524515,0.0019641669681343694
